"schema","table","columns"
"logistica","ruta_logistica","id_ruta_logistica,id_tenant,id_empresa,codigo,nombre,id_modo_transporte,id_zona_origen,id_zona_destino,tiempo_transito_dias,activo,creado_utc,actualizado_utc,version_fila"
"logistica","ruta_logistica_tramo","id_ruta_logistica_tramo,id_ruta_logistica,orden_tramo,id_modo_transporte,id_zona_origen,id_zona_destino,tiempo_transito_dias,observaciones"
"logistica","tarifa","id_tarifa,id_tenant,id_empresa,codigo,nombre,prioridad,fecha_inicio,fecha_fin,activo,creado_utc,actualizado_utc,version_fila"
"logistica","tarifa_condicion","id_tarifa_condicion,id_tarifa,id_producto_logistico,id_cliente,origen,destino,peso_min,peso_max,cantidad_min,cantidad_max,valor_factura_min,valor_factura_max,creado_utc,id_zona_origen,id_zona_destino,id_modo_transporte,id_tipo_carga"
"logistica","tarifa_formula","id_tarifa_formula,id_tarifa,tipo_formula,valor,minimo,maximo,unidad,creado_utc"
"logistica","tarifa_rango","id_tarifa_rango,id_tarifa_formula,valor_min,valor_max,precio,creado_utc"
"logistica","tarifa_temporada","id_tarifa_temporada,id_tarifa,id_temporada_tarifaria,factor_ajuste,monto_ajuste,activo,creado_utc"
"logistica","temporada_tarifaria","id_temporada_tarifaria,id_tenant,id_empresa,codigo,nombre,fecha_inicio,fecha_fin,activo,creado_utc"
"logistica","termino_comercial","id_termino_comercial,codigo,nombre,descripcion,activo"
"logistica","tipo_bulto","id_tipo_bulto,id_tenant,codigo,nombre,descripcion,activo,creado_utc,actualizado_utc,version_fila"
"logistica","tipo_carga","id_tipo_carga,id_tenant,codigo,nombre,requiere_documentacion,activo,creado_utc,actualizado_utc,version_fila"
"logistica","tipo_contenedor","id_tipo_contenedor,id_tenant,codigo,nombre,capacidad_pies,capacidad_m3,peso_maximo_kg,activo,creado_utc,actualizado_utc,version_fila"
"logistica","tipo_evento_envio","id_tipo_evento_envio,codigo,nombre,descripcion,orden_visual,activo"
"logistica","tipo_servicio","id_tipo_servicio,id_tenant,codigo,nombre,descripcion,requiere_programacion,activo,creado_utc,actualizado_utc,version_fila"
"logistica","unidad_medida","id_unidad_medida,id_tenant,codigo,nombre,simbolo,categoria,factor_base,activo,creado_utc,actualizado_utc,version_fila"
"logistica","zona","id_zona,id_tenant,codigo,nombre,activo,creado_utc,actualizado_utc,version_fila"
"logistica","zona_localidad","id_zona_localidad,id_zona,id_pais,id_estado,id_ciudad,codigo_postal,activo,creado_utc"
"observabilidad","auditoria_autorizacion","id_auditoria_autorizacion,fecha_utc,id_tenant,id_usuario,id_empresa,id_sesion_usuario,codigo_permiso,codigo_operacion,metodo_http,permitido,motivo,codigo_entidad,id_objeto,ip_origen,agente_usuario,solicitud_id"
"observabilidad","auditoria_evento_seguridad","id_auditoria_evento_seguridad,fecha_utc,id_tipo_evento_seguridad,id_tenant,id_empresa,id_usuario,id_sesion_usuario,detalle,ip_origen,agente_usuario,solicitud_id"
